Data;Id;Nome;Nivel;Id Alimento;Descricao;NP;GA;Kcal;Hidra;PA;Glic;In Natura;Processado;Ultraprocessados;Total;Pontuacao;Tempo
19-10-2017 16:59:44;0;Salvador;1;----;Garrafa de agua;----;----;-10.97;39.03;-20.97;-20.97;0;0;0;0;100;296.96
19-10-2017 16:59:46;0;Salvador;1;26;Biscoito, polvilho doce;2;----;100.00;21.37;-38.63;-8.63;0;0;1;1;100;294.61
19-10-2017 16:59:51;0;Salvador;1;----;Garrafa de agua;----;----;75.81;47.18;-72.82;-42.82;0;0;1;1;100;289.20
Data;Id;Nome;Nivel;Id Alimento;Descricao;NP;GA;Kcal;Hidra;PA;Glic;In Natura;Processado;Ultraprocessados;Total;Pontuacao;Tempo
19-10-2017 17:00:26;0;Salvador;1;26;Biscoito, polvilho doce;2;----;100.00;-12.20;-12.20;17.80;0;0;1;1;100;297.44
Data;Id;Nome;Nivel;Id Alimento;Descricao;NP;GA;Kcal;Hidra;PA;Glic;In Natura;Processado;Ultraprocessados;Total;Pontuacao;Tempo
19-10-2017 17:01:11;0;Salvador;1;23;Batata, frita, tipo chips, industrializada;2;----;100.00;-14.23;-14.23;15.77;0;0;1;1;100;297.36
Data;Id;Nome;Nivel;Id Alimento;Descricao;NP;GA;Kcal;Hidra;PA;Glic;In Natura;Processado;Ultraprocessados;Total;Pontuacao;Tempo
19-10-2017 17:01:11;0;Salvador;1;23;Batata, frita, tipo chips, industrializada;2;----;100.00;-14.23;-14.23;15.77;0;0;1;1;100;297.36
Data;Id;Nome;Nivel;Id Alimento;Descricao;NP;GA;Kcal;Hidra;PA;Glic;In Natura;Processado;Ultraprocessados;Total;Pontuacao;Tempo
19-10-2017 17:03:45;0;Salvador;1;26;Biscoito, polvilho doce;2;----;100.00;-15.41;-15.41;14.59;0;0;1;1;100;294.79
Data;Id;Nome;Nivel;Id Alimento;Descricao;NP;GA;Kcal;Hidra;PA;Glic;In Natura;Processado;Ultraprocessados;Total;Pontuacao;Tempo
19-10-2017 17:03:45;0;Salvador;1;26;Biscoito, polvilho doce;2;----;100.00;-15.41;-15.41;14.59;0;0;1;1;100;294.79
Data;Id;Nome;Nivel;Id Alimento;Descricao;NP;GA;Kcal;Hidra;PA;Glic;In Natura;Processado;Ultraprocessados;Total;Pontuacao;Tempo
19-10-2017 17:11:22;0;Salvador;1;46;Tomate, molho industrializado;2;----;100.00;-20.15;-20.15;9.85;0;0;1;1;100;293.98
Data;Id;Nome;Nivel;Id Alimento;Descricao;NP;GA;Kcal;Hidra;PA;Glic;In Natura;Processado;Ultraprocessados;Total;Pontuacao;Tempo
19-10-2017 17:11:22;0;Salvador;1;46;Tomate, molho industrializado;2;----;100.00;-20.15;-20.15;9.85;0;0;1;1;100;293.98
Data;Id;Nome;Nivel;Id Alimento;Descricao;NP;GA;Kcal;Hidra;PA;Glic;In Natura;Processado;Ultraprocessados;Total;Pontuacao;Tempo
19-10-2017 17:12:43;0;Salvador;1;26;Biscoito, polvilho doce;2;----;100.00;-12.71;-12.71;17.29;0;0;1;1;100;297.77
19-10-2017 17:12:46;0;Salvador;1;26;Biscoito, polvilho doce;2;----;100.00;-30.86;-30.86;29.14;0;0;2;2;100;294.67
19-10-2017 17:12:49;0;Salvador;1;23;Batata, frita, tipo chips, industrializada;2;----;100.00;-46.21;-46.21;43.79;0;0;3;3;100;292.01
19-10-2017 17:12:50;0;Salvador;1;----;Garrafa de agua;----;----;87.02;-9.18;-69.18;20.82;0;0;3;3;100;290.72
19-10-2017 17:12:52;0;Salvador;1;46;Tomate, molho industrializado;2;----;100.00;-20.31;-80.31;39.69;0;0;4;4;100;289.51
19-10-2017 17:12:55;0;Salvador;1;23;Batata, frita, tipo chips, industrializada;2;----;100.00;-35.89;-95.89;54.11;0;0;5;5;100;286.21
19-10-2017 17:12:56;0;Salvador;1;----;Garrafa de agua;----;----;89.22;3.34;-100.00;33.34;0;0;5;5;100;284.92
19-10-2017 17:12:59;0;Salvador;1;32;Cenoura, cozida;1;----;100.00;-11.82;-100.00;38.18;0;1;5;6;103;282.33
19-10-2017 17:12:59;0;Salvador;1;22;Batata, baroa, crua;0;----;99.55;-2.27;-100.00;27.73;1;1;5;7;113;282.16
19-10-2017 17:13:01;0;Salvador;1;23;Batata, frita, tipo chips, industrializada;2;----;100.00;-16.90;-100.00;43.10;1;1;6;8;113;280.52
19-10-2017 17:13:01;0;Salvador;1;----;Garrafa de agua;----;----;89.77;22.87;-100.00;22.87;1;1;6;8;113;280.14
19-10-2017 17:13:02;0;Salvador;1;----;Garrafa de agua;----;----;79.10;62.20;-100.00;2.20;1;1;6;8;113;279.03
19-10-2017 17:13:04;0;Salvador;1;23;Batata, frita, tipo chips, industrializada;2;----;100.00;47.09;-100.00;17.09;1;1;7;9;113;277.00
19-10-2017 17:13:06;0;Salvador;1;----;Garrafa de agua;----;----;86.42;83.51;-100.00;-6.49;1;1;7;9;113;275.12
19-10-2017 17:13:08;0;Salvador;1;46;Tomate, molho industrializado;2;----;100.00;69.62;-100.00;9.62;1;1;8;10;113;273.38
19-10-2017 17:13:09;0;Salvador;1;16;Acelga, crua;0;----;97.43;77.05;-100.00;-2.95;2;1;8;11;123;272.10
19-10-2017 17:13:11;0;Salvador;1;----;Garrafa de agua;----;----;82.21;100.00;-100.00;-28.18;2;1;8;11;123;270.40
19-10-2017 17:13:12;0;Salvador;1;16;Acelga, crua;0;----;79.87;100.00;-100.00;-40.51;3;1;8;12;133;269.08
